,variable,weight
3,duration,0.2709201201336321
1,balance,0.10027756997928582
0,age,0.09708147933436538
2,day,0.08678441999518748
40,dummy__success,0.051123454472857245
5,pdays,0.0438078325674822
4,campaign,0.039779486914378805
24,dummy__yes,0.021292416510736312
6,previous,0.021009263951143636
34,dummy__mar,0.014166717220322162
27,dummy__unknown,0.014140976678898437
20,dummy__secondary,0.01266976253575846
18,dummy__married,0.01237378092696169
37,dummy__oct,0.011698625227492916
21,dummy__tertiary,0.011491972619052826
15,dummy__technician,0.011087780435011288
33,dummy__jun,0.011046942437577915
10,dummy__management,0.011025650731496686
35,dummy__may,0.010669485486037519
19,dummy__single,0.010461463408878557
28,dummy__aug,0.010039976449196372
25,dummy__yes,0.00998285128770233
32,dummy__jul,0.009807636594565506
7,dummy__blue-collar,0.009484201066183858
36,dummy__nov,0.008991496738408364
38,dummy__sep,0.008944874697773518
30,dummy__feb,0.008521940321624732
26,dummy__telephone,0.007469314528237752
41,dummy__unknown,0.007154551984585748
13,dummy__services,0.007020835107969264
31,dummy__jan,0.0061070544517448306
22,dummy__unknown,0.005430815871461425
11,dummy__retired,0.005216870336592001
14,dummy__student,0.005033317868807252
16,dummy__unemployed,0.004876449158815151
12,dummy__self-employed,0.0047596912600432854
8,dummy__entrepreneur,0.004085674670877214
29,dummy__dec,0.003808062105263637
39,dummy__other,0.0037765515319681596
9,dummy__housemaid,0.0034510738956891334
23,dummy__yes,0.0018307703990846605
17,dummy__unknown,0.0012967881068485063
